CustomerID,CustomerName,Segment,Region,City,State,SignupDate,AgeGroup
CUST0001,Sanjay Rao,Consumer,North,Jaipur,Rajasthan,2023-06-10,26-35
CUST0002,Varun Reddy,Home Office,West,Surat,Gujarat,2025-01-21,36-50
CUST0003,Sanjay Mehta,Home Office,West,Ahmedabad,Gujarat,2025-05-11,26-35
CUST0004,Vikram Kulkarni,Consumer,West,Pune,Maharashtra,2023-09-22,18-25
CUST0005,Rahul Kulkarni,Corporate,West,Mumbai,Maharashtra,2024-11-06,18-25
CUST0006,Sneha Joshi,Corporate,West,Mumbai,Maharashtra,2025-06-29,36-50
CUST0007,Harini Khan,Consumer,South,Bengaluru,Karnataka,2025-07-02,36-50
CUST0008,  vikram menon  ,Home Office,North,Jaipur,Rajasthan,2023-06-25,36-50
CUST0009,Sanjay Gupta,Corporate,East,Guwahati,Assam,2023-09-12,51+
CUST0010,Karthik Bose,Corporate,West,Pune,Maharashtra,2024-09-24,36-50
CUST0011,Kavya Menon,Consumer,East,Guwahati,Assam,2023-05-10,26-35
CUST0012,Akash Nair,Corporate,South,Chennai,Tamil Nadu,2025-11-27,36-50
CUST0013,Aarav Iyer,Consumer,North,Chandigarh,Chandigarh,2025-09-04,26-35
CUST0014,Lakshmi Verma,Home Office,South,Chennai,Tamil Nadu,2024-11-24,36-50
CUST0015,Diya Pillai,Corporate,South,Coimbatore,Tamil Nadu,2024-09-16,51+
CUST0016,Ananya Menon,Consumer,North,Jaipur,Rajasthan,2023-11-11,18-25
CUST0017,Varun Rao,Consumer,West,Surat,Gujarat,2025-10-21,26-35
CUST0018,Aditya Mehta,Consumer,South,Hyderabad,Telangana,2025-01-15,51+
CUST0019,Ishaan Pillai,Consumer,West,Ahmedabad,Gujarat,2023-06-28,36-50
CUST0020,Aarav Pillai,Consumer,North,Lucknow,Uttar Pradesh,2025-11-30,26-35
CUST0021,Varun Nair,Home Office,West,Ahmedabad,Gujarat,2025-11-12,36-50
CUST0022,Diya Kulkarni,Consumer,East,Kolkata,West Bengal,2025-02-13,18-25
CUST0023,Diya Naidu,consumer,East,Guwahati,Assam,2024-03-23,36-50
CUST0024,Lakshmi Pillai,Corporate,South,Coimbatore,Tamil Nadu,2024-11-26,26-35
CUST0025,Aditya Rao,Consumer,North,Chandigarh,Chandigarh,2025-12-16,26-35
CUST0026,Arjun Mehta,Home Office,South,Coimbatore,Tamil Nadu,2025-07-27,26-35
CUST0027,Sanjay Gupta,Consumer,North,Delhi,Delhi,2024-08-19,36-50
CUST0028,Manoj Menon,Consumer,West,Pune,Maharashtra,2023-11-15,36-50
CUST0029,Rohan Kulkarni,Consumer,West,Mumbai,Maharashtra,2023-04-17,36-50
CUST0030,Rahul Sharma,Consumer,West,Mumbai,Maharashtra,2025-03-19,36-50
CUST0031,Priya Mishra,Home Office,South,Bengaluru,Karnataka,2023-05-09,51+
CUST0032,Pooja Nair,Consumer,North,Delhi,Delhi,2025-05-13,26-35
CUST0033,Ananya Das,Consumer,North,Delhi,Delhi,2023-12-18,18-25
CUST0034,Meera Bose,Consumer,West,Ahmedabad,Gujarat,2023-01-29,18-25
CUST0035,Karthik Verma,Corporate,East,Guwahati,Assam,2025-01-09,51+
CUST0036,Priya Patel,Home Office,East,Guwahati,Assam,2023-10-18,26-35
CUST0037,Aarav Iyer,Consumer,West,Pune,Maharashtra,2024-02-21,26-35
CUST0038,Harini Sharma,Home Office,South,Coimbatore,Tamil Nadu,2024-06-22,36-50
CUST0039,Varun Joshi,Consumer,South,Coimbatore,Tamil Nadu,2025-08-21,51+
CUST0040,Shreya Reddy,Consumer,North,Delhi,Delhi,2025-05-04,26-35
CUST0041,Priya Iyer,Consumer,South,Hyderabad,Telangana,2023-09-13,26-35
CUST0042,Vikram Khan,Consumer,West,Pune,Maharashtra,2025-04-16,18-25
CUST0043,Meera Mehta,Corporate,West,Mumbai,Maharashtra,2024-04-22,51+
CUST0044,Rahul Rao,Consumer,West,Pune,Maharashtra,2025-07-18,36-50
CUST0045,Sanjay Nair,Consumer,West,Surat,Gujarat,2024-10-17,26-35
CUST0046,Kavya Pillai,Corporate,East,Kolkata,West Bengal,2025-11-12,36-50
CUST0047,Rahul Das,Home Office,South,Hyderabad,Telangana,2025-07-16,26-35
CUST0048,Rohan Das,Consumer,West,Ahmedabad,Gujarat,2025-04-11,26-35
CUST0049,Lakshmi Kulkarni,Consumer,West,Ahmedabad,Gujarat,2023-01-08,26-35
CUST0050,Varun Mehta,Home Office,North,Jaipur,Rajasthan,2025-07-08,26-35
CUST0051,Aditya Sharma,Consumer,East,Guwahati,Assam,2025-06-30,26-35
CUST0052,Arjun Verma,Home Office,south ,Lucknow,Uttar Pradesh,2023-11-01,26-35
CUST0053,Aarav Menon,Home Office,West,Pune,Maharashtra,2025-06-23,26-35
CUST0054,Aarav Iyer,Home Office,West,Pune,Maharashtra,2025-07-14,36-50
CUST0055,Harini Kulkarni,Consumer,East,Guwahati,Assam,2024-05-17,51+
CUST0056,Vikram Pillai,Consumer,East,Patna,Bihar,2024-11-12,18-25
CUST0057,Akash Singh,Home Office,North,Chandigarh,Chandigarh,2024-12-21,26-35
CUST0058,Divya Nair,Home Office,East,Guwahati,Assam,2023-01-13,26-35
CUST0059,Rahul Verma,Corporate,East,Guwahati,Assam,2023-02-16,36-50
CUST0060,Akash Mehta,Consumer,East,Patna,Bihar,2025-01-15,36-50
CUST0061,Meera Kulkarni,Consumer,South,Bengaluru,Karnataka,2024-11-07,18-25
CUST0062,Harini Pillai,Corporate,North,Jaipur,Rajasthan,2023-04-01,36-50
CUST0063,Kavya Nair,Consumer,North,Jaipur,Rajasthan,2024-06-25,51+
CUST0064,Diya Rao,Corporate,South,Chennai,Tamil Nadu,2025-05-13,26-35
CUST0065,Sneha Singh,Consumer,South,Hyderabad,Telangana,2023-03-24,18-25
CUST0066,Aarav Gupta,Consumer,North,Jaipur,Rajasthan,2024-06-18,51+
CUST0067,Varun Joshi,Consumer,South,Chennai,Tamil Nadu,2024-10-29,26-35
CUST0068,Harini Pillai,Corporate,East,Guwahati,Assam,2024-04-08,36-50
CUST0069,Rahul Sharma,Corporate,East,Guwahati,Assam,2023-07-22,36-50
CUST0070,Manoj Iyer,Home Office,West,Ahmedabad,Gujarat,2024-06-06,18-25
CUST0071,Sneha Nair,Corporate,North,Jaipur,Rajasthan,2025-08-08,26-35
CUST0072,Shreya Nair,Consumer,West,Surat,Gujarat,2025-09-16,26-35
CUST0073,Kavya Pillai,Consumer,South,Hyderabad,Telangana,2023-04-01,26-35
CUST0074,Sanjay Rao,Home Office,East,Kolkata,West Bengal,2025-12-13,26-35
